name,lat,long
Civil Voluntary Group/Gruppo di Volontariato Civile- We World niger,37.6,-95.665
Comitato Internazionale Per Lo Sviluppo Dei Popoli dr congo,37.6,-95.665
Comitato Internazionale Per Lo Sviluppo Dei Popoli ethiopia,8.992100293546473,38.758068114786205
Comitato Internazionale Per Lo Sviluppo Dei Popoli mali,12.66381639105833,-7.974321285181218
Comitato Internazionale Per Lo Sviluppo Dei Popoli niger,13.526747216220333,2.0692465077067097
Comitato Internazionale Per Lo Sviluppo Dei Popoli somalia,37.6,-95.665
African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain liberia,37.6,-95.665
African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain mali,12.67087689105369,-7.997543285181148
African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain mauritania,37.6,-95.665
African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain niger,37.6,-95.665
African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain nigeria,37.6,-95.665
African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain senegal,37.6,-95.665
African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain sierra leone,8.703568593747038,-12.527075185215768
African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain south sudan,37.6,-95.665
African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain zambia,37.6,-95.665
African Medical and Research Foundation (formerly the Flying Doctors of East Africa) ethiopia,38.89900777957046,-77.01015828464959
African Medical and Research Foundation (formerly the Flying Doctors of East Africa) south sudan,4.8481503359183895,31.59347872416181
African Medical and Research Foundation (formerly the Flying Doctors of East Africa) zambia,-14.177183026081222,27.34554594335811
Agence luxembourgeoise pour la Coopération au développement burkina faso,29.709430297248,-15.849503067824193
Agence luxembourgeoise pour la Coopération au développement mali,37.6,-95.665
Agence luxembourgeoise pour la Coopération au développement niger,37.6,-95.665
Agence luxembourgeoise pour la Coopération au développement senegal,14.73864898971468,-17.51000698515819
Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement angola,37.6,-95.665
Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement burkina faso,37.6,-95.665
Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement central african republic,37.6,-95.665
Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement chad,37.6,-95.665
Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement dr congo,-2.503115598176017,28.855568314755903
Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement ethiopia,9.017450593528874,38.78105101478653
Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement guinea,37.6,-95.665
Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement mali,37.6,-95.665
Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement mauritania,37.6,-95.665
Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement south sudan,37.6,-95.665
Agency for Technical Cooperation and Development/Agence d?Aide à la Coopération Technique et au Développement central african republic,37.6,-95.665
Agency for Technical Cooperation and Development/Agence d?Aide à la Coopération Technique et au Développement chad,5.377742396099346,-3.997526785234877
Agency for Technical Cooperation and Development/Agence d?Aide à la Coopération Technique et au Développement cote d ivoire,5.377742396099346,-3.997526785234877
Agency for Technical Cooperation and Development/Agence d?Aide à la Coopération Technique et au Développement dr congo,-2.503115598176017,28.855568314755903
Agency for Technical Cooperation and Development/Agence d?Aide à la Coopération Technique et au Développement mali,12.661781391059703,-7.97354018518124
Agency for Technical Cooperation and Development/Agence d?Aide à la Coopération Technique et au Développement niger,13.551312490477423,2.09799881482826
Agency for Technical Cooperation and Development/Agence d?Aide à la Coopération Technique et au Développement somalia,5.377742396099346,-3.997526785234877
Agency for Technical Cooperation and Development/Agence d?Aide à la Coopération Technique et au Développement south sudan,4.841262796484554,31.60707181476285
Agency for Technical Cooperation and Development/Agence d?Aide à la Coopération Technique et au Développement sudan,15.573588489188827,32.54825981485214
Aide et Action International burkina faso,12.30799989129366,-1.5191682851848378
Aide et Action International cote d ivoire,6.181213095525026,1.188261514768928
Aide et Action International guinea,9.600141293125963,-13.652683585208989
Aide et Action International mali,13.93536726498438,-11.112763926466204
Aide et Action International niger,13.39226658275391,2.8463914740676297
Aide et Action International senegal,14.72415948972386,-17.473868385158248
ALIGHT (formerly American Refugee Committee) somalia,37.6,-95.665
ALIGHT (formerly American Refugee Committee) south sudan,37.6,-95.665
ALIGHT (formerly American Refugee Committee) sudan,15.573435077020845,32.56147882828786
Ananda Marga Universal Relief Team International burkina faso,37.6,-95.665
Ananda Marga Universal Relief Team International nigeria,39.08642987954202,-77.19120268464403
Assist International senegal,14.70429702244713,-17.488115988777857
Assist International sudan,15.592208889177158,32.58079721485239
Associazione Volontari per il Servizio Internazionale cote d ivoire,7.443768741640606,-10.045612950778349
Associazione Volontari per il Servizio Internazionale dr congo,-3.983493603145,12.682395209170108
Action Africa Help-International somalia,3.708492897301793,34.854081114758884
Action Africa Help-International zambia,-15.416981389286688,28.36328921485016
