name,status,shortname,homepage,url
NESI-Network,active,NESI,,https://reliefweb.int/taxonomy/term/1492
ONG ADDENA,active,ONG ADDENA,,https://reliefweb.int/taxonomy/term/51613
ONG El-Bourak Charité,active,ONG E.B.C,http://elbourak.org/,https://reliefweb.int/taxonomy/term/51612
ONG Initiative pour un Développement Vert,active,ONG ID-Vert,http://www.ongidvert.com/,https://reliefweb.int/taxonomy/term/51611
ONG AGIR PLUS-21,active,ONG AGIR PLUS-21,,https://reliefweb.int/taxonomy/term/51610
ONG Karkara,active,ONG Karkara,https://www.ongkarkara.org,https://reliefweb.int/taxonomy/term/51609
Coalition citoyenne pour le Sahel,active,Coalition citoyenne pour le Sahel,https://www.sahelpeoplescoalition.org/,https://reliefweb.int/taxonomy/term/51135
AACCES Support en Développement,active,AACCES,https://www.aacces-group.com/,https://reliefweb.int/taxonomy/term/51053
UN Country Team in Niger,active,UNCT Niger,https://niger.un.org/,https://reliefweb.int/taxonomy/term/50302
Office of the Special Coordinator for Development in the Sahel,active,OSCDS,https://unis-sahel.org/,https://reliefweb.int/taxonomy/term/51416
UN Integrated Strategy for the Sahel,active,UNISS,https://unis-sahel.org,https://reliefweb.int/taxonomy/term/51412
Mo Ibrahim Foundation,active,MIF,http://mo.ibrahim.foundation/,https://reliefweb.int/taxonomy/term/49058
UN Office for West Africa and the Sahel,active,UNOWAS,http://unowas.unmissions.org/,https://reliefweb.int/taxonomy/term/37996
UN Resident Coordinator in Senegal,active,UN RC Senegal,https://senegal.un.org/fr/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22451
Croix-Rouge Sénégalaise,active,Croix-Rouge Sénégalaise,https://www.ifrc.org/fr/national-societies-directory/croix-rouge-senegalaise,https://reliefweb.int/taxonomy/term/11226
