"","ID","ADM0_NAME","ADM0_CODE","Admin1","ADM1_CODE","ADM2_NAME","ADM2_CODE","year","age_group_id","age_group_name","sex_id","sex","measure_id","measure","mean","lower","upper"
"173","South Sudan_Wanjuk","South Sudan",206,"North Bahr-al-Ghazal",5206,"Wanjuk",4005206,2017,28,"Infant",3,"Both",27,"Probability of death",0.103,0.0673931983438582,0.159334765506436
"174","Angola_Ebo","Angola",3,"Cuanza Sul",7003,"Ebo",4007003,2017,28,"Infant",3,"Both",27,"Probability of death",0.074,0.0576616070602079,0.0960285533332002
"175","Mali_Niono","Mali",146,"Ségou",7146,"Niono",4007146,2017,28,"Infant",3,"Both",27,"Probability of death",0.08,0.0612890727105969,0.100408859213259
"176","Mali_Koutiala","Mali",146,"Sikasso",8146,"Koutiala",4008146,2017,28,"Infant",3,"Both",27,"Probability of death",0.077,0.0585377141230595,0.0987311575447672
"177","South Sudan_Warab","South Sudan",206,"Warap",8206,"Warab",4008206,2017,28,"Infant",3,"Both",27,"Probability of death",0.089,0.0606307474106064,0.125459984055055
"178","Central African Republic_Rafaï","Central African Republic",39,"Mbomou",9039,"Rafaï",4009039,2017,28,"Infant",3,"Both",27,"Probability of death",0.083,0.0490418708247757,0.115768022739353
"179","Mali_Niafunké","Mali",146,"Timbuktu",9146,"Niafunké",4009146,2017,28,"Infant",3,"Both",27,"Probability of death",0.077,0.059472332767629,0.101145867009447
"180","Somalia_Kismaayo","Somalia",203,"Jubbada Hoose",10203,"Kismaayo",4010203,2017,28,"Infant",3,"Both",27,"Probability of death",0.077,0.0488429676855755,0.115953827357635
"181","South Sudan_Yambio","South Sudan",206,"West Equatoria",10206,"Yambio",4010206,2017,28,"Infant",3,"Both",27,"Probability of death",0.081,0.0527396387278319,0.114522355487466
"182","Burkina Faso_Yagha","Burkina Faso",22,"Sahel",12022,"Yagha",4012022,2017,28,"Infant",3,"Both",27,"Probability of death",0.085,0.0635763450247919,0.111143095608645
"183","Central African Republic_Yaloké","Central African Republic",39,"Ombella-M'Poko",12039,"Yaloké",4012039,2017,28,"Infant",3,"Both",27,"Probability of death",0.084,0.0573423985974028,0.117469513472194
"184","Chad_Pendé","Chad",217,"Logone Oriental",12217,"Pendé",4012217,2017,28,"Infant",3,"Both",27,"Probability of death",0.076,0.0563158601062664,0.099664990281728
"185","Burkina Faso_Poni","Burkina Faso",22,"Sud-Ouest",13022,"Poni",4013022,2017,28,"Infant",3,"Both",27,"Probability of death",0.082,0.059603069937853,0.111256692356505
"186","Central African Republic_Ippy","Central African Republic",39,"Ouaka",13039,"Ippy",4013039,2017,28,"Infant",3,"Both",27,"Probability of death",0.083,0.0568027756993855,0.126113780005298
"187","Somalia_Marka","Somalia",203,"Shabeellaha Hoose",15203,"Marka",4015203,2017,28,"Infant",3,"Both",27,"Probability of death",0.084,0.0518603794555815,0.134989715249409
"188","Somalia_Xudun","Somalia",203,"Sool",16203,"Xudun",4016203,2017,28,"Infant",3,"Both",27,"Probability of death",0.071,0.0437180694856701,0.111171128581389
"189","Somalia_Sheekh","Somalia",203,"Togdheer",17203,"Sheekh",4017203,2017,28,"Infant",3,"Both",27,"Probability of death",0.081,0.0511297354396821,0.11984041109006
"190","Nigeria_BirninKu","Nigeria",164,"Jigawa",18164,"BirninKu",4018164,2017,28,"Infant",3,"Both",27,"Probability of death",0.094,0.0748913694193945,0.11395333180527
"191","Nigeria_Bebeji","Nigeria",164,"Kano",20164,"Bebeji",4020164,2017,28,"Infant",3,"Both",27,"Probability of death",0.103,0.082565133317435,0.12753687562836
