name,status,shortname,homepage,url,lat,long
Intergovernmental Authority on Development,active,IGAD,http://www.igad.org,https://reliefweb.int/taxonomy/term/1270,7.0528248479214,28.812285540149478
UN Resident and Humanitarian Coordinator in Eritrea,active,UN RC/HC Eritrea,https://eritrea.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22386,37.599999999999994,-95.665
UN Country Team in Eritrea,active,UNCT Eritrea,https://eritrea.un.org/en,https://reliefweb.int/taxonomy/term/1509,15.142961747361449,35.33522656960485
Eritrean Development Foundation,active,EDF,http://www.edfonline.org/,https://reliefweb.int/taxonomy/term/601,38.90324817956966,-77.03455328464948
Africa Centres for Disease Control and Prevention,active,Africa CDC,https://africacdc.org/,https://reliefweb.int/taxonomy/term/50373,29.420059999999,-29.212454000000005
UN Resident and Humanitarian Coordinator in Ethiopia,active,UN RC/HC Ethiopia,https://ethiopia.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22381,37.599999999999994,-95.665
Ethiopian Red Cross Society,active,Ethiopian Red Cross Society,http://www.redcrosseth.org/,https://reliefweb.int/taxonomy/term/17991,9.15993660255831,38.534015871461555
African Society for Laboratory Medicine,active,ASLM,http://www.aslm.org/,https://reliefweb.int/taxonomy/term/10260,39.13803567953423,-77.22846768464245
Institute for Peace and Security Studies,active,IPSS,http://www.ipss-addis.org,https://reliefweb.int/taxonomy/term/4307,38.93339401851781,-77.11229665619643
UN Office to the African Union,active,UNOAU,https://unoau.unmissions.org/,https://reliefweb.int/taxonomy/term/4205,38.90657434241331,-77.07109999437304
African Child Policy Forum,active,ACPF,http://www.africanchildforum.org/,https://reliefweb.int/taxonomy/term/2392,8.98969589354814,38.78239891478633
UN Economic Commission for Africa,active,ECA,http://www.uneca.org/,https://reliefweb.int/taxonomy/term/1522,9.014749993530767,38.76201871478654
UN Country Team in Ethiopia,active,UNCT Ethiopia,https://ethiopia.un.org/en,https://reliefweb.int/taxonomy/term/1399,37.599999999999994,-95.665
Ogaden Welfare Society,active,OWS,http://www.ogaden.com/,https://reliefweb.int/taxonomy/term/1117,5.937887495698605,43.55610821476758
Sudan INGO Forum,active,Sudan INGO,https://www.linkedin.com/company/sudan-ingo-forum/,https://reliefweb.int/taxonomy/term/51584,4.860229096470934,31.596960614762917
UN Integrated Transition Assistance Mission in Sudan,active,UNITAMS,https://unitams.unmissions.org/en,https://reliefweb.int/taxonomy/term/50639,37.599999999999994,-95.665
UN Interim Security Force for Abyei,active,UNISFA,https://unisfa.unmissions.org/,https://reliefweb.int/taxonomy/term/21616,9.740659801890853,27.855223729892977
Arab Bank for Economic Development in Africa,active,BADEA,http://www.badea.org/,https://reliefweb.int/taxonomy/term/4008,22.810604516007825,27.45886585584468
Radio Dabanga,active,Radio Dabanga,http://www.dabangasudan.org/en,https://reliefweb.int/taxonomy/term/3967,37.599999999999994,-95.665
UN Resident Coordinator in Sudan,active,UN RC Sudan,https://sudan.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/3874,15.609115289166587,32.53411301485255
Sudanese Red Crescent Society,active,Sudanese Red Crescent,https://srcs.sd/?lang=en,https://reliefweb.int/taxonomy/term/3850,15.606136989168444,32.53225721485247
UN Country Team in Sudan,active,UNCT Sudan,https://sudan.un.org/en,https://reliefweb.int/taxonomy/term/2172,37.599999999999994,-95.665
NESI-Network,active,NESI,,https://reliefweb.int/taxonomy/term/1492,-1.289544699059448,36.79359381475403
ONG ADDENA,active,ONG ADDENA,,https://reliefweb.int/taxonomy/term/51613,13.518561390498665,2.1218677148278693
ONG El-Bourak Charité,active,ONG E.B.C,http://elbourak.org/,https://reliefweb.int/taxonomy/term/51612,37.599999999999994,-95.665
ONG Initiative pour un Développement Vert,active,ONG ID-Vert,http://www.ongidvert.com/,https://reliefweb.int/taxonomy/term/51611,6.434036157831561,1.8380961481448328
ONG AGIR PLUS-21,active,ONG AGIR PLUS-21,,https://reliefweb.int/taxonomy/term/51610,13.587028690454249,2.0862356148286345
